"","YEAR","PID","CLASS_TYPE","AREA","FRAC","PROX","ENN","CLASS_NAME"
"269",2023,2986,"cls_3",1.1229,1.088,62398.9154,71.4424,"Pasture"
"270",2023,3025,"cls_3",1.1229,1.1271,28205.1167,63.9,"Pasture"
"271",2023,3038,"cls_3",0.2042,1.0909,48577.881,63.9,"Pasture"
"272",2023,3044,"cls_3",0.1021,1,6592.8092,63.9,"Pasture"
"273",2023,3050,"cls_3",0.1021,1,32841.1457,71.4424,"Pasture"
"274",2023,3051,"cls_3",0.1021,1,41048.8448,63.9,"Pasture"
"275",2023,3056,"cls_3",1.4291,1.014,41046.9282,63.9,"Pasture"
"276",2023,3092,"cls_3",1.225,1.1337,1376.5386,63.9,"Pasture"
"277",2023,3093,"cls_3",1.225,1.0556,1714.0684,63.9,"Pasture"
"278",2023,3113,"cls_3",11.433,1.1093,39018.3311,90.3682,"Pasture"
"279",2023,3131,"cls_3",2.0416,1.0903,32839.298,71.4424,"Pasture"
"280",2023,3150,"cls_3",0.6125,1.0465,32937.8993,71.4424,"Pasture"
"281",2023,3164,"cls_3",0.5104,1.0688,10259.5541,63.9,"Pasture"
"282",2023,3167,"cls_3",0.9187,1.063,32838.6389,71.4424,"Pasture"
"283",2023,3183,"cls_3",9.9018,1.0897,4388.3665,162.9137,"Pasture"
"284",2023,3203,"cls_3",0.1021,1,22535.6568,71.4424,"Pasture"
"285",2023,3210,"cls_3",0.1021,1,5173.4138,90.3682,"Pasture"
"286",2023,3265,"cls_3",0.2042,1.0155,22537.0016,71.4424,"Pasture"
"287",2023,3266,"cls_3",0.8166,1.0769,19271.7555,63.9,"Pasture"
"288",2023,3285,"cls_3",0.2042,1.0155,78005.3594,63.9,"Pasture"
"289",2023,3289,"cls_3",1.1229,1.0402,32835.9942,71.4424,"Pasture"
"290",2023,3302,"cls_3",1.0208,1.022,19275.9752,63.9,"Pasture"
"291",2023,3330,"cls_3",0.5104,1.0688,7637.4487,127.8,"Pasture"
"292",2023,3337,"cls_3",0.2042,1.0155,34394.1916,63.9,"Pasture"
"293",2023,3368,"cls_3",3.4707,1.1125,78849.1389,63.9,"Pasture"
"294",2023,3379,"cls_3",17741.3433,1.2477,208143.4686,63.9,"Pasture"
"295",2023,3384,"cls_3",18493.0623,1.3108,219455.5235,63.9,"Pasture"
"296",2023,3410,"cls_3",0.1021,1,67451.7259,63.9,"Pasture"
"297",2023,3415,"cls_3",0.1021,1,105835.9523,63.9,"Pasture"
"298",2023,3420,"cls_3",2.3478,1.0604,18255.1286,63.9,"Pasture"
"299",2023,3438,"cls_3",0.2042,1.0909,9679.5624,63.9,"Pasture"
"300",2023,3446,"cls_3",1.9395,1.096,10279.5464,127.8,"Pasture"
"301",2023,3449,"cls_3",8.2685,1.1175,112740.471,63.9,"Pasture"
"302",2023,3466,"cls_3",0.3062,1.0914,36400.4953,71.4424,"Pasture"
"303",2023,3471,"cls_3",0.3062,1.0358,61168.6576,63.9,"Pasture"
"304",2023,3475,"cls_3",0.2042,1.0155,61201.4071,63.9,"Pasture"
"305",2023,3506,"cls_3",0.1021,1,72160.6066,63.9,"Pasture"
"306",2023,3549,"cls_3",0.1021,1,61588.0608,63.9,"Pasture"
"307",2023,3554,"cls_3",0.3062,1.0914,72625.1569,63.9,"Pasture"
"308",2023,3558,"cls_3",0.1021,1,62073.5523,63.9,"Pasture"
"309",2023,3584,"cls_3",0.6125,1.0465,4782.769,95.85,"Pasture"
